ID,Name
4312,Москва и Московская обл.
4925,Санкт-Петербург и область
1998532,Адыгея
3160,Алтайский край
3223,Амурская обл.
3251,Архангельская обл.
3282,Астраханская обл.
3296,Башкортостан (Башкирия)
3352,Белгородская обл.
3371,Брянская обл.
3407,Бурятия
3437,Владимирская обл.
3468,Волгоградская обл.
3503,Вологодская обл.
3529,Воронежская обл.
3630,Дагестан
3673,Еврейская обл.
3675,Ивановская обл.
3703,Иркутская обл.
3751,Кабардино-Балкария
3761,Калининградская обл.
3827,Калмыкия
3841,Калужская обл.
3872,Камчатская обл.
3892,Карелия
3921,Кемеровская обл.
3952,Кировская обл.
3994,Коми
4026,Костромская обл.
4052,Краснодарский край
4105,Красноярский край
4176,Курганская обл.
4198,Курская обл.
4227,Липецкая обл.
4243,Магаданская обл.
4270,Марий Эл
4287,Мордовия
4481,Мурманская обл.
3563,Нижегородская (Горьковская)
4503,Новгородская обл.
4528,Новосибирская обл.
4561,Омская обл.
4593,Оренбургская обл.
4633,Орловская обл.
4657,Пензенская обл.
4689,Пермская обл.
4734,Приморский край
4773,Псковская обл.
4800,Ростовская обл.
4861,Рязанская обл.
4891,Самарская обл.
4969,Саратовская обл.
5011,Саха (Якутия)
5052,Сахалин
5080,Свердловская обл.
5151,Северная Осетия
5161,Смоленская обл.
5191,Ставропольский край
5225,Тамбовская обл.
5246,Татарстан
3784,Тверская обл.
5291,Томская обл.
5312,Тува (Тувинская Респ.)
5326,Тульская обл.
5356,Тюменская обл.
5404,Удмуртия
5432,Ульяновская обл.
5458,Уральская обл.
5473,Хабаровский край
2316497,Хакасия
2499002,Ханты-Мансийский АО
5507,Челябинская обл.
5543,Чечено-Ингушетия
5555,Читинская обл.
5600,Чувашия
2415585,Чукотский АО
5019394,Ямало-Ненецкий АО
5625,Ярославская обл.
5,Виктория
16,Западная Австралия
23,Кинсленд
35,Новый Южный Уэльс
51,Северная Территория
54,Тасмания
58,Территория Федеральной столицы
60,Южная Австралия
277659,Австрия
64,Вена
66,Верхняя Австрия
70,Зальцбург
72,Каринтия
75,Нижняя Австрия
77,Штирия
82,Азербайджан
164,Нагорный Карабах
167,Нахичеванская обл.
174,Anguilla
178,Буэнос-Айрес
194,Жужуй
196,Катамарка
198,Кордоба
204,Корриентес
207,Ла-Пампа
210,Ла-Риоха
212,Мендоса
215,Мисьонес
217,Неукен
219,Сальта
221,Сан-Луис
223,Сан-Хуан
225,Санта-Крус
227,Санта-Фе
230,Сантьяго-дель-Эстеро
232,Тукуман
234,Формоса
236,Чако
239,Чубут
241,Энтре-Риос
277654,Армения
246,Ереванская область
7716133,Арулько
249,Брестская обл.
272,Витебская обл.
304,Гомельская обл.
330,Гродненская обл.
349,Минская обл.
377,Могилевская обл.
402,Belize
405,Антверпен
277662,Бельгия
408,Брюссель
410,Восточная Фландрия
413,Западная Фландрия
417,Лимбург
419,Льеж
422,Эно
426,Hamilton
277660,Болгария
429,Бургас
431,Варна
433,Великотырново
436,Видин
438,Габрово
440,Пазарджик
442,Перник
444,Плевен
446,Пловдив
449,Русе
451,Силистра
453,Сливен
455,София град
457,Стара Загора
460,Хасково
463,Шумен
465,Ямбол
468,Акри
470,Алагоас
473,Амазонас
475,Амапа
477,Баия
490,Гояс
493,Мараньян
497,Мату-Гросу
499,Мату-Гросу-ду-Сул
503,Минас-Жерайс
521,Пара
524,Параиба
527,Парана
533,Пернамбуку
539,Пиауи
542,Рио-де-Жанейро
550,Риу-Гранди-ду-Норти
554,Риу-Гранди-ду-Сул
568,Рондония
570,Сан-Паулу
595,Санта-Катарина
603,Сеара
609,Сержипи
611,Федеральный округ
613,Эспириту-Санту
617,Англия
277657,Великобритания
881,Северная Ирландия
889,Уэльс
899,Шотландия
925,Jasz-Nagykun-Szolnok
928,Баранья
930,Бач-Кишкун
934,Бекеш
936,Боршод-Абауй-Земплен
939,Будапешт
941,Ваш
943,Веспрем
945,Дьёр-Шопрон
947,Зала
950,Комаром
952,Ноград
954,Пешт
956,Сабольч-Сатмар
958,Фейер
961,Хайду-Бихар
964,Хевеш
967,Чонград
972,Dong Bang Song Cuu Long
975,Dong Bang Song Hong
979,Dong Nam
982,Duyen Hai Mien Trung
987,Khu Bon
990,Mien Nui Va Trung
992,Thai Nguyen
995,Artibonite
997,Grand`Anse
999,Nord-Ouest
1001,Ouest
1003,Sud
1005,Sud-Est
1008,Grande-Terre
1010,Бас-Тер
1013,Berlin
1015,Brandenburg
1020,Mecklenburg-Vorpommern
1028,Sachsen
1043,Sachsen-Anhalt
1053,Thuringen
1064,Бавария
1083,Баден-Вюртемберг
1103,Бремен
1106,Гамбург
277663,Германия
1108,Гессен
1120,Нижняя Саксония
1137,Рейнланд-Пфальц
3024114,Саарлэнд
1149,Саарская область
1152,Северный Рейн-Вестфалия
1201,Шлезвиг-Гольштейн
1207,Гелдерланд
1213,Гронинген
1215,Дренте
1217,Лимбург
